"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 12, 2020","327.20","321.47","327.22","321.47","28.43M","2.37%"
"Feb 11, 2020","319.61","323.60","323.90","318.71","23.58M","-0.60%"
"Feb 10, 2020","321.55","314.18","321.55","313.85","27.34M","0.47%"
"Feb 07, 2020","320.03","322.37","323.40","318.00","29.42M","-1.59%"
"Feb 06, 2020","325.21","322.57","325.22","320.26","26.36M","1.17%"
"Feb 05, 2020","321.45","323.52","324.76","318.95","29.71M","0.82%"
"Feb 04, 2020","318.85","315.31","319.64","313.63","34.15M","3.30%"
"Feb 03, 2020","308.66","304.30","313.49","302.22","43.50M","-0.27%"
"Jan 31, 2020","309.51","320.93","322.68","308.29","49.90M","-4.43%"
"Jan 30, 2020","323.87","320.54","324.09","318.75","31.69M","-0.14%"
"Jan 29, 2020","324.34","324.45","327.85","321.38","54.15M","2.09%"
"Jan 28, 2020","317.69","312.60","318.40","312.19","40.56M","2.83%"
"Jan 27, 2020","308.95","310.06","311.77","304.88","40.49M","-2.94%"
"Jan 24, 2020","318.31","320.25","323.33","317.52","36.63M","-0.29%"
"Jan 23, 2020","319.23","317.92","319.56","315.65","26.12M","0.48%"
"Jan 22, 2020","317.70","318.58","319.99","317.31","25.46M","0.36%"
"Jan 21, 2020","316.57","317.19","319.02","316.00","27.71M","-0.68%"
"Jan 17, 2020","318.73","316.27","318.74","315.00","34.45M","1.11%"
"Jan 16, 2020","315.24","313.59","315.70","312.09","27.21M","1.25%"
"Jan 15, 2020","311.34","311.85","315.50","309.55","30.48M","-0.43%"
"Jan 14, 2020","312.68","316.70","317.57","312.17","40.65M","-1.35%"
"Jan 13, 2020","316.96","311.64","317.07","311.15","30.52M","2.14%"
"Jan 10, 2020","310.33","310.60","312.67","308.25","35.22M","0.23%"
"Jan 09, 2020","309.63","307.23","310.43","306.20","42.62M","2.12%"
"Jan 08, 2020","303.19","297.16","304.44","297.16","33.09M","1.61%"
"Jan 07, 2020","298.39","299.84","300.90","297.48","27.88M","-0.47%"
"Jan 06, 2020","299.80","293.79","299.96","292.75","29.64M","0.80%"
"Jan 03, 2020","297.43","297.15","300.58","296.50","36.63M","-0.97%"
"Jan 02, 2020","300.35","296.24","300.60","295.19","33.91M","2.28%"
"Dec 31, 2019","293.65","289.93","293.68","289.52","25.25M","0.73%"
"Dec 30, 2019","291.52","289.46","292.69","285.22","36.06M","0.59%"
"Dec 27, 2019","289.80","291.12","293.97","288.12","36.59M","-0.04%"
"Dec 26, 2019","289.91","284.82","289.98","284.70","23.33M","1.98%"
"Dec 24, 2019","284.27","284.69","284.89","282.92","12.12M","0.10%"
"Dec 23, 2019","284.00","280.53","284.25","280.37","24.68M","1.63%"
"Dec 20, 2019","279.44","282.23","282.65","278.56","69.03M","-0.21%"
"Dec 19, 2019","280.02","279.50","281.18","278.95","24.63M","0.10%"
"Dec 18, 2019","279.74","279.80","281.90","279.12","29.02M","-0.24%"
"Dec 17, 2019","280.41","279.57","281.77","278.80","28.58M","0.20%"
"Dec 16, 2019","279.86","277.00","280.79","276.98","32.08M","1.71%"
"Dec 13, 2019","275.15","271.46","275.30","270.93","33.43M","1.36%"
"Dec 12, 2019","271.46","267.78","272.56","267.32","34.44M","0.25%"
"Dec 11, 2019","270.77","268.81","271.10","268.50","19.72M","0.85%"
"Dec 10, 2019","268.48","268.60","270.07","265.86","22.63M","0.58%"
"Dec 09, 2019","266.92","270.00","270.80","264.91","32.18M","-1.40%"
"Dec 06, 2019","270.71","267.48","271.00","267.30","26.55M","1.93%"
"Dec 05, 2019","265.58","263.79","265.89","262.73","18.66M","1.47%"
"Dec 04, 2019","261.74","261.07","263.31","260.68","16.81M","0.88%"
"Dec 03, 2019","259.45","258.31","259.53","256.29","29.38M","-1.78%"
"Dec 02, 2019","264.16","267.27","268.25","263.45","23.69M","-1.16%"
"Nov 29, 2019","267.25","266.60","268.00","265.90","11.65M","-0.22%"
"Nov 27, 2019","267.84","265.58","267.98","265.31","16.39M","1.34%"
"Nov 26, 2019","264.29","266.94","267.16","262.50","26.33M","-0.78%"
"Nov 25, 2019","266.37","262.71","266.44","262.52","21.03M","1.75%"
"Nov 22, 2019","261.78","262.59","263.18","260.84","16.33M","-0.09%"
"Nov 21, 2019","262.01","263.69","264.01","261.18","30.35M","-0.45%"
"Nov 20, 2019","263.19","265.54","266.08","260.40","26.61M","-1.16%"
"Nov 19, 2019","266.29","267.90","268.00","265.39","19.07M","-0.30%"
"Nov 18, 2019","267.10","265.80","267.43","264.23","21.70M","0.50%"
"Nov 15, 2019","265.76","263.68","265.78","263.01","25.09M","1.19%"
"Nov 14, 2019","262.64","263.75","264.88","262.10","22.40M","-0.69%"
"Nov 13, 2019","264.47","261.13","264.78","261.07","25.82M","0.96%"
"Nov 12, 2019","261.96","261.55","262.79","260.92","21.85M","-0.09%"
"Nov 11, 2019","262.20","258.30","262.47","258.28","20.51M","0.79%"
"Nov 08, 2019","260.14","258.69","260.44","256.85","17.52M","0.27%"
"Nov 07, 2019","259.43","258.74","260.35","258.11","23.74M","0.85%"
"Nov 06, 2019","257.24","256.77","257.49","255.37","18.97M","0.04%"
"Nov 05, 2019","257.13","257.05","258.19","256.32","19.97M","-0.14%"
"Nov 04, 2019","257.50","257.33","257.85","255.38","25.82M","0.66%"
"Nov 01, 2019","255.82","249.54","255.93","249.16","37.78M","2.84%"
"Oct 31, 2019","248.76","247.24","249.17","237.26","34.79M","2.26%"
"Oct 30, 2019","243.26","244.76","245.30","241.21","31.13M","-0.01%"
"Oct 29, 2019","243.29","248.97","249.75","242.57","35.71M","-2.31%"
"Oct 28, 2019","249.05","247.42","249.25","246.72","24.14M","1.00%"
"Oct 25, 2019","246.58","243.16","246.73","242.88","18.37M","1.23%"
"Oct 24, 2019","243.58","244.51","244.80","241.80","17.92M","0.16%"
"Oct 23, 2019","243.18","242.10","243.24","241.22","19.93M","1.34%"
"Oct 22, 2019","239.96","241.16","242.20","239.62","22.68M","-0.23%"
"Oct 21, 2019","240.51","237.52","240.99","237.32","22.37M","1.73%"
"Oct 18, 2019","236.41","234.59","237.58","234.29","24.38M","0.48%"
"Oct 17, 2019","235.28","235.09","236.15","233.52","17.27M","0.39%"
"Oct 16, 2019","234.37","233.37","235.24","233.20","19.29M","-0.40%"
"Oct 15, 2019","235.32","236.39","237.65","234.88","23.04M","-0.23%"
"Oct 14, 2019","235.87","234.90","238.13","234.67","24.41M","-0.14%"
"Oct 11, 2019","236.21","232.95","237.64","232.31","41.99M","2.66%"
"Oct 10, 2019","230.09","227.93","230.44","227.30","28.96M","1.35%"
"Oct 09, 2019","227.03","227.03","227.79","225.64","19.03M","1.17%"
"Oct 08, 2019","224.40","225.82","228.06","224.33","29.28M","-1.17%"
"Oct 07, 2019","227.06","226.27","229.93","225.84","30.89M","0.02%"
"Oct 04, 2019","227.01","225.64","227.49","223.89","34.76M","2.80%"
"Oct 03, 2019","220.82","218.43","220.96","215.13","30.35M","0.85%"
"Oct 02, 2019","218.96","223.06","223.58","217.93","35.77M","-2.51%"
"Oct 01, 2019","224.59","225.07","228.22","224.20","36.19M","0.28%"
"Sep 30, 2019","223.97","220.90","224.58","220.79","26.32M","2.35%"
"Sep 27, 2019","218.82","220.54","220.96","217.28","25.36M","-0.49%"
"Sep 26, 2019","219.89","220.00","220.94","218.83","19.09M","-0.52%"
"Sep 25, 2019","221.03","218.55","221.50","217.14","22.48M","1.54%"
"Sep 24, 2019","217.68","221.03","222.49","217.19","31.43M","-0.48%"
"Sep 23, 2019","218.72","218.95","219.84","217.65","19.42M","0.45%"
"Sep 20, 2019","217.73","221.38","222.56","217.47","57.98M","-1.46%"
"Sep 19, 2019","220.96","222.01","223.76","220.37","22.19M","-0.81%"
"Sep 18, 2019","222.77","221.06","222.85","219.44","25.64M","0.94%"
"Sep 17, 2019","220.70","219.96","220.82","219.12","18.39M","0.36%"
"Sep 16, 2019","219.90","217.73","220.13","217.56","21.16M","0.53%"
"Sep 13, 2019","218.75","220.00","220.79","217.02","39.76M","-1.94%"
"Sep 12, 2019","223.09","224.80","226.42","222.86","32.23M","-0.23%"
"Sep 11, 2019","223.59","218.07","223.71","217.73","44.29M","3.18%"
"Sep 10, 2019","216.70","213.86","216.78","211.71","31.78M","1.18%"
"Sep 09, 2019","214.17","214.84","216.44","211.07","27.31M","0.43%"
"Sep 06, 2019","213.26","214.05","214.42","212.51","19.36M","-0.01%"
"Sep 05, 2019","213.28","212.00","213.97","211.51","23.95M","1.96%"
"Sep 04, 2019","209.19","208.39","209.48","207.32","19.22M","1.70%"
"Sep 03, 2019","205.70","206.43","206.98","204.22","20.06M","-1.46%"
"Aug 30, 2019","208.74","210.16","210.45","207.20","21.16M","-0.13%"
"Aug 29, 2019","209.01","208.50","209.32","206.65","21.01M","1.69%"
"Aug 28, 2019","205.53","204.10","205.72","203.32","15.96M","0.67%"
"Aug 27, 2019","204.16","207.86","208.55","203.53","25.90M","-1.13%"
"Aug 26, 2019","206.49","205.86","207.19","205.06","26.07M","1.90%"
"Aug 23, 2019","202.64","209.43","212.05","201.00","46.88M","-4.62%"
"Aug 22, 2019","212.46","213.19","214.43","210.75","22.27M","-0.08%"
"Aug 21, 2019","212.64","212.99","213.65","211.60","21.56M","1.08%"
"Aug 20, 2019","210.36","210.88","213.35","210.32","26.92M","0.00%"
"Aug 19, 2019","210.35","210.62","212.73","210.02","24.43M","1.86%"
"Aug 16, 2019","206.50","204.28","207.16","203.84","28.81M","2.36%"
"Aug 15, 2019","201.74","203.46","205.14","199.67","27.88M","-0.50%"
"Aug 14, 2019","202.75","203.16","206.44","202.59","36.55M","-2.98%"
"Aug 13, 2019","208.97","201.02","212.14","200.83","47.54M","4.23%"
"Aug 12, 2019","200.48","199.62","202.05","199.15","22.48M","-0.25%"
"Aug 09, 2019","200.99","201.30","202.76","199.29","24.62M","-1.20%"
"Aug 08, 2019","203.43","200.20","203.53","199.39","27.01M","2.21%"
"Aug 07, 2019","199.04","195.41","199.56","193.82","33.36M","1.04%"
"Aug 06, 2019","197.00","196.31","198.07","194.04","35.82M","1.89%"
"Aug 05, 2019","193.34","197.99","198.65","192.58","52.39M","-5.23%"
"Aug 02, 2019","204.02","205.53","206.43","201.63","40.86M","-2.12%"
"Aug 01, 2019","208.43","213.90","218.03","206.74","54.02M","-2.16%"
"Jul 31, 2019","213.04","216.42","221.37","211.30","69.28M","2.04%"
"Jul 30, 2019","208.78","208.76","210.16","207.31","33.94M","-0.43%"
"Jul 29, 2019","209.68","208.46","210.64","208.44","21.67M","0.93%"
"Jul 26, 2019","207.74","207.48","209.73","207.14","17.62M","0.35%"
"Jul 25, 2019","207.02","208.89","209.24","206.73","13.91M","-0.79%"
"Jul 24, 2019","208.67","207.67","209.15","207.17","14.99M","-0.08%"
"Jul 23, 2019","208.84","208.46","208.91","207.29","18.36M","0.78%"
"Jul 22, 2019","207.22","203.65","207.23","203.61","22.28M","2.29%"
"Jul 19, 2019","202.59","205.79","206.50","202.36","20.93M","-1.49%"
